202307061130519261913
タイトル,概況品別国別表,,,
概況品,概況品名,国名,累計数量,累計金額
'3050103,　（液化天然ガス）,オーストラリア,30750906,3638704115
'3050103,　（液化天然ガス）,マレーシア,12048622,1286167422
'3050103,　（液化天然ガス）,ロシア,6869316,678133147
'3050103,　（液化天然ガス）,アメリカ合衆国,4135856,572308870
'3050103,　（液化天然ガス）,パプアニューギニア,3789956,489703313
'3050103,　（液化天然ガス）,ブルネイ,3214142,325560800
'3050103,　（液化天然ガス）,カタール,2883542,402463267
'3050103,　（液化天然ガス）,インドネシア,2540892,335977418
'3050103,　（液化天然ガス）,オマーン,2529105,244034327
'3050103,　（液化天然ガス）,アラブ首長国連邦,1334644,254743840
'3050103,　（液化天然ガス）,ナイジェリア,969962,122213540
'3050103,　（液化天然ガス）,ペルー,198716,23872780
'3050103,　（液化天然ガス）,エジプト,183472,26291588
'3050103,　（液化天然ガス）,アルジェリア,124509,18979789
'3050103,　（液化天然ガス）,赤道ギニア,122633,14384684
'3050103,　（液化天然ガス）,トリニダード・トバゴ,108155,8653021
'3050103,　（液化天然ガス）,シンガポール,73532,6469454
'3050103,　（液化天然ガス）,アンゴラ,62344,5920685
'3050103,　（液化天然ガス）,中華人民共和国,57360,9613595
輸出入,輸入,MT,,
年月,2022年全期,,,
概況品,概況品参照指定,（液化天然ガス）,,
国,全対象指定,,,
単位:(1000円),,,,
