Table 1
,Latitude(id),Longitude(kendo),category,,,
,26.9417,51.46,Crude oil,,,
,26.9417,54.9756,Crude oil,,,
,26.9417,59.0186,Crude oil,,,
,26.9417,59.4141,Crude oil,,,
,24.0063,60.8643,Crude oil,,,
,22.5937,60.9961,Crude oil,,,
,23.8858,62.71,Crude oil,,,
,22.9989,62.9736,Crude oil,,,
,21.6574,66.9287,Crude oil,,,
,16.9307,67.7197,Crude oil,,,
,8.5376,73.7402,Crude oil,,,
,6.97,77.4756,Crude oil,,,
,6.8828,77.4756,Crude oil,,,
,5.4848,79.7607,Crude oil,,,
,5.7034,80.4639,Crude oil,,,
,5.3973,89.2969,Crude oil,,,
,6.2279,90.791,Crude oil,,,
,4.9815,98.3716,Crude oil,,,
,4.5436,99.1626,Crude oil,,,
,2.7236,101.2939,Crude oil,,,
,2.032,105.0018,Crude oil,,,
,2.1254,104.9634,Crude oil,,,
,2.2022,104.9908,Crude oil,,,
,2.3175,104.9249,Crude oil,,,
,2.3504,105.0018,Crude oil,,,
,2.4218,104.9689,Crude oil,,,
,2.4437,105.0623,Crude oil,,,
,2.5425,105.1477,Crude oil,,,
,2.6577,105.1831,Crude oil,,,
,2.7675,105.1556,Crude oil,,,
,3.3983,105.4852,Crude oil,,,
,6.4463,107.7759,Crude oil,,,
,6.5546,107.8528,Crude oil,,,
,7.1663,108.3472,Crude oil,,,
,9.6332,110.5554,Crude oil,,,
,10.2501,110.9180,Crude oil,,,
,10.3906,111.1487,Crude oil,,,
,11.0490,111.9617,Crude oil,,,
,20.9820,121.5527,Crude oil,,,
,21.2075,121.7944,Crude oil,,,
,24.3271,125.4419,Crude oil,,,
,25.9975,128.4302,Crude oil,,,
,27.1960,130.1001,Crude oil,,,
,27.3327,130.4077,Crude oil,,,
,27.0787,126.7822,Crude oil,,,
,27.2546,127.0239,Crude oil,,,
,28.8639,129.5728,Crude oil,,,
,31.2034,130.6494,Crude oil,,,
,32.1756,133.3740,Crude oil,,,
,32.5828,133.4399,Crude oil,,,
,32.6394,133.8574,Crude oil,,,
,32.5098,134.2090,Crude oil,,,
