202307061127075521413
タイトル,概況品別国別表,,,
概況品,概況品名,国名,累計数量,累計金額
'30101,　石炭,オーストラリア,121542297,5262062829
'30101,　石炭,インドネシア,25721883,1076999340
'30101,　石炭,ロシア,11576933,473505833
'30101,　石炭,カナダ,10604596,479985217
'30101,　石炭,アメリカ合衆国,9754307,344940052
'30101,　石炭,コロンビア,1357440,59899963
'30101,　石炭,南アフリカ共和国,933306,46445318
'30101,　石炭,中華人民共和国,499324,21894270
'30101,　石炭,ベトナム,428512,19641641
'30101,　石炭,ニュージーランド,360139,15891772
'30101,　石炭,モザンビーク,208640,7650727
'30101,　石炭,ペルー,15000,1105278
'30101,　石炭,タイ,1364,73263
'30101,　石炭,台湾,886,73780
輸出入,輸入,mt,,
年月,2022年全期,,,
概況品,概況品参照指定,石炭,,
国,全対象指定,,,
単位:(1000円),,,,
