,Latitude(id),Longitude(kendo),,,,
,14.0940,-110.0391,,,,
,17.8115,-134.2969,,,,
,26.7456,-160.6641,,,,
,-23.4028,152.0508,,,,
,-12.5546,130.7813,,,,
,-9.6224,128.3203,,,,
,-19.3111,116.8945,,,,
,-17.8115,116.3672,,,,
,-4.5655,125.5078,,,,
,-0.7031,126.3867,,,,
,1.9332,127.0898,,,,
,7.0137,127.9688,,,,
,12.2112,130.6055,,,,
,19.3111,129.3750,,,,
,17.1408,118.8281,,,,
,20.3034,121.2891,,,,
,18.6462,129.0234,,,,
,21.4531,132.3633,,,,
,23.4028,135,,,,
,26.2737,137.8125,,,,
,30.2970,138.1641,,,,
,26.4312,125.5078,,,,
,25.1652,126.7383,,,,
,28.1495,130.7813,,,,
,28.1495,132.5391,,,,
,31.0529,138.1641,,,,
,30.7513,134.2969,,,,
,31.8029,135.7031,,,,
,32.1012,135,,,,
,34.7416,140.4492,,,,
,34.4522,134.1211,,,,
,36.8796,135.1758,,,,
,36.7389,132.7148,,,,
,42.6824,141.8555,,,,
,8.7548,-78.3984,,,,
