タイトル,国別概況品別表
輸出入,輸入
年月,'2023年5月
国,全対象指定
概況品,概況品参照指定,'305,"天然ガス及び製造ガス"
単位:(1000円)


国,国名,概況品,概況品名,単位,当月数量,当月金額,累計数量,累計金額
'103,"大韓民国",'305,"天然ガス及び製造ガス",MT,1026,327557,8568,2505395
'105,"中華人民共和国",'305,"天然ガス及び製造ガス",MT,6,9764,57067,6511699
'111,"タイ",'305,"天然ガス及び製造ガス",MT,-,-,0,7002
'113,"マレーシア",'305,"天然ガス及び製造ガス",MT,925953,72495382,4832040,492698090
'116,"ブルネイ",'305,"天然ガス及び製造ガス",MT,198506,20253240,1375716,142276574
'118,"インドネシア",'305,"天然ガス及び製造ガス",MT,55505,4954229,1370867,148598649
'128,"東ティモール",'305,"天然ガス及び製造ガス",MT,-,-,29554,2554493
'138,"クウェート",'305,"天然ガス及び製造ガス",MT,47838,3804076,232464,21623823
'140,"カタール",'305,"天然ガス及び製造ガス",MT,89759,8657628,1261219,159031386
'141,"オマーン",'305,"天然ガス及び製造ガス",MT,58649,5923198,946793,94803796
'147,"アラブ首長国連邦",'305,"天然ガス及び製造ガス",MT,47194,3791043,270558,38118659
'210,"フランス",'305,"天然ガス及び製造ガス",MT,0,3160,6,7767
'213,"ドイツ",'305,"天然ガス及び製造ガス",MT,0,2239,0,14070
'224,"ロシア",'305,"天然ガス及び製造ガス",MT,610105,55939658,2615104,263370814
'302,"カナダ",'305,"天然ガス及び製造ガス",MT,140329,11457684,698112,61760904
'304,"アメリカ合衆国",'305,"天然ガス及び製造ガス",MT,591139,46799056,4810574,437112056
'320,"トリニダード・トバゴ",'305,"天然ガス及び製造ガス",MT,-,-,62761,4325517
'407,"ペルー",'305,"天然ガス及び製造ガス",MT,-,-,125746,20065815
'506,"エジプト",'305,"天然ガス及び製造ガス",MT,-,-,135016,22661276
'530,"赤道ギニア",'305,"天然ガス及び製造ガス",MT,-,-,62561,14332879
'545,"モザンビーク",'305,"天然ガス及び製造ガス",MT,64967,5921475,64967,5921475
'601,"オーストラリア",'305,"天然ガス及び製造ガス",MT,2367696,219093473,12380192,1384730486
'602,"パプアニューギニア",'305,"天然ガス及び製造ガス",MT,218713,18482153,1583044,165986796
