202307061119260721913
タイトル,概況品別国別表,,,
概況品,概況品名,国名,累計数量,累計金額
'30301,　原油及び粗油,サウジアラビア,61697410,5240063282
'30301,　原油及び粗油,アラブ首長国連邦,59184008,5018625916
'30301,　原油及び粗油,クウェート,12898870,1097937739
'30301,　原油及び粗油,カタール,10983660,929818608
'30301,　原油及び粗油,エクアドル,2919012,236951301
'30301,　原油及び粗油,ロシア,2287100,174428907
'30301,　原油及び粗油,オマーン,1854740,157886329
'30301,　原油及び粗油,アメリカ合衆国,1592956,145116172
'30301,　原油及び粗油,バーレーン,692178,52563791
'30301,　原油及び粗油,メキシコ,650027,52231072
'30301,　原油及び粗油,ベトナム,558741,51824796
'30301,　原油及び粗油,オーストラリア,342910,32946930
'30301,　原油及び粗油,マレーシア,246577,21724940
'30301,　原油及び粗油,カザフスタン,172335,11312457
'30301,　原油及び粗油,アンゴラ,157963,15950041
'30301,　原油及び粗油,ブルネイ,137989,10586405
'30301,　原油及び粗油,南スーダン,97197,6545465
'30301,　原油及び粗油,アルジェリア,86898,6978474
'30301,　原油及び粗油,インドネシア,58730,5615882
輸出入,輸入,,,
年月,2022年全期,,,
概況品,概況品参照指定,原油及び粗油,,
国,全対象指定,,,
単位:(1000円),,,,
