,Latitude(id),Longitude(kendo),,,,
,26.9417,51.46,,,,
,25.9957,54.9756,,,,
,24.4071,59.0186,,,,
,23.926,59.4141,,,,
,24.0063,60.8643,,,,
,22.5937,60.9961,,,,
,23.8858,62.71,,,,
,22.9989,62.9736,,,,
,21.6574,66.9287,,,,
,16.9307,67.7197,,,,
,8.5376,73.7402,,,,
,6.97,77.4756,,,,
,6.8828,77.4756,,,,
,5.4848,79.7607,,,,
,5.7034,80.4639,,,,
,5.3973,89.2969,,,,
,6.2279,90.791,,,,
,4.9815,98.3716,,,,
,4.5436,99.1626,,,,
,2.7236,101.2939,,,,
,2.032,105.0018,,,,
,2.1254,104.9634,,,,
,2.2022,104.9908,,,,
,2.3175,104.9249,,,,
,2.3504,105.0018,,,,
,2.4218,104.9689,,,,
,2.4437,105.0623,,,,
,2.5425,105.1477,,,,
,2.6577,105.1831,,,,
,2.7675,105.1556,,,,
,3.3983,105.4852,,,,
,6.4463,107.7759,,,,
,6.5546,107.8528,,,,
,7.1663,108.3472,,,,
,9.6332,110.5554,,,,
,10.2501,110.9180,,,,
,10.3906,111.1487,,,,
,11.0490,111.9617,,,,
,20.9820,121.5527,,,,
,21.2075,121.7944,,,,
,24.3271,125.4419,,,,
,25.9975,128.4302,,,,
,27.1960,130.1001,,,,
,27.3327,130.4077,,,,
,27.0787,126.7822,,,,
,27.2546,127.0239,,,,
,28.8639,129.5728,,,,
,31.2034,130.6494,,,,
,32.1756,133.3740,,,,
,32.5828,133.4399,,,,
,32.6394,133.8574,,,,
,32.5098,134.2090,,,,
,34.0891,137.5049,,,,
,33.8522,137.4829,,,,
,34.4219,139.5121,,,,
,35.0300,140.7568,,,,
,40.8803,138.9551,,,,
,41.1787,139.5264,,,,
,22.4313,-122.5195,,,,
